#Rank	Path	LengthInKmers	Flows
3	180000003	771	2
2	292000002	739	3
0	215000000	674	2
2	293000002	549	2
3	181000003	779	2
0	216000000	674	2
2	294000002	549	2
3	182000003	768	2
2	295000002	547	2
0	217000000	680	2
1	221000001	1739	3
2	296000002	546	2
1	222000001	669	2
0	218000000	671	2
2	297000002	544	2
0	219000000	731	2
1	223000001	726	2
3	183000003	783	3
2	298000002	653	2
0	220000000	667	3
1	224000001	668	3
3	184000003	813	3
2	300000002	752	3
0	221000000	667	3
3	185000003	759	2
1	225000001	685	3
2	301000002	536	2
3	186000003	758	2
0	222000000	684	3
2	302000002	535	2
1	226000001	701	2
2	303000002	535	2
3	187000003	757	2
2	304000002	534	2
1	227000001	662	2
0	223000000	747	3
2	305000002	533	2
1	228000001	653	2
3	188000003	1032	2
2	306000002	532	2
0	224000000	661	2
3	189000003	753	2
0	225000000	659	2
1	229000001	687	3
2	307000002	533	3
2	308000002	531	2
3	190000003	747	2
1	230000001	651	2
0	226000000	657	2
2	309000002	529	2
2	310000002	528	2
3	191000003	874	2
1	231000001	691	3
2	311000002	528	2
0	227000000	671	3
1	232000001	647	2
3	192000003	746	2
2	312000002	526	2
2	313000002	526	2
0	228000000	871	2
3	193000003	745	2
0	229000000	655	2
2	314000002	524	3
1	233000001	1254	2
3	194000003	745	2
2	315000002	522	2
1	234000001	642	2
0	230000000	656	2
3	195000003	743	2
2	316000002	663	3
1	235000001	641	2
3	196000003	741	2
0	231000000	654	2
2	317000002	520	2
1	236000001	639	2
0	232000000	650	2
3	197000003	740	2
2	318000002	519	2
1	238000001	638	2
2	319000002	519	2
3	200000003	734	2
0	233000000	679	3
2	320000002	518	2
3	201000003	730	2
0	234000000	648	2
2	321000002	518	2
0	235000000	646	2
2	322000002	518	2
3	203000003	998	2
0	236000000	642	2
2	323000002	517	2
1	239000001	1029	3
3	204000003	729	2
2	324000002	517	2
0	237000000	640	2
0	238000000	639	2
1	240000001	688	3
2	325000002	598	2
2	326000002	515	2
0	239000000	638	2
3	206000003	729	3
